funder,funder_type,program,acronym_expansion,theme,pandemic_relevance,years,status,source_file
DARPA BTO,US DoD,ADEPT,Autonomous Diagnostics to Enable Prevention and Therapeutics,diagnostics,YES,2011-2016,Complete,allprogs.md
DARPA BTO,US DoD,P3,Pandemic Prevention Platform,therapeutics-antivirals,YES,2017-2021,Complete,allprogs.md
DARPA BTO,US DoD,PREEMPT,PReventing EMerging Pathogenic Threats,biosurveillance-detection,YES,2018-2022,Complete,allprogs.md
DARPA BTO,US DoD,Prophecy,Prophecy (Pathogen Defeat),therapeutics-antivirals,YES,~2010-2014,Complete,allprogs.md
DARPA BTO,US DoD,INTERCEPT,INTERfering and Co-Evolving Prevention and Therapy,therapeutics-antivirals,YES,2016-2020,Complete,allprogs.md
DARPA BTO,US DoD,THoR,Technologies for Host Resilience,therapeutics-antivirals,YES,2015-2019,Complete,allprogs.md
DARPA BTO,US DoD,PREPARE,PReemptive Expression of Protective Alleles and Response Elements,therapeutics-antivirals,YES,2018-2022,Complete,allprogs.md
DARPA BTO,US DoD,DIGET,Detect It with Gene Editing Technologies,diagnostics,YES,2019-2024,Complete,allprogs.md
DARPA BTO,US DoD,NOW,Nucleic acids On-demand Worldwide,MCM-manufacturing,YES,2021-2026,Complete,allprogs.md
DARPA BTO,US DoD,ECHO,Epigenetic CHaracterization and Observation,diagnostics,PARTIAL,2018-2023,Complete,allprogs.md
DARPA BTO,US DoD,Friend or Foe,(no acronym),biosurveillance-detection,YES,2018-~2022,Complete,allprogs.md
DARPA BTO,US DoD,RTA,Rapid Threat Assessment,biosecurity-policy,PARTIAL,2013-2018,Complete,allprogs.md
DARPA BTO,US DoD,HEALR,Harnessing Enzymatic Activity for Lifesaving Remedies,therapeutics-antivirals,YES,2020-present,Active,allprogs.md
DARPA BTO,US DoD,AIM,Assessing Immune Memory,vaccines,YES,2023-~2026,Complete,allprogs.md
DARPA BTO,US DoD,Panacea,(no acronym),therapeutics-antivirals,PARTIAL,~2018-2022,Complete,allprogs.md
DARPA BTO,US DoD,PPB,Personalized Protective Biosystem,PPE-air-UV,PARTIAL,2019-2023,Complete,allprogs.md
DARPA BTO,US DoD,Biostasis,(no acronym),therapeutics-antivirals,PARTIAL,2018-~2023,Complete,allprogs.md
DARPA BTO,US DoD,DLT,Dialysis-Like Therapeutics,therapeutics-antivirals,PARTIAL,2012-~2016,Complete,allprogs.md
DARPA BTO,US DoD,Battlefield Medicine (PoD / Bio-MOD),Pharmacy on Demand / Biologically-derived Medicines on Demand,MCM-manufacturing,PARTIAL,2012-2016,Complete,allprogs.md
DARPA BTO,US DoD,Focused Pharma,(no acronym),therapeutics-antivirals,NO,~2018-2022,Complete,allprogs.md
DARPA BTO,US DoD,MPS,Microphysiological Systems,basic-research,PARTIAL,2011-~2017,Complete,allprogs.md
DARPA BTO,US DoD,IVN,In Vivo Nanoplatforms,biosurveillance-detection,PARTIAL,2012-~2017,Complete,allprogs.md
DARPA BTO,US DoD,Prometheus,(no expansion published),biosurveillance-detection,YES,~2010s,Complete,allprogs.md
DARPA BTO,US DoD,Bio-Attribution Challenge,(no acronym),biosecurity-policy,YES,2025-present,Active,allprogs.md
DARPA BTO,US DoD,Living Foundries (ATCG; 1000 Molecules),Advanced Tools and Capabilities for Generalizable Platforms,synbio,NO,2010-2021,Complete,allprogs.md
DARPA BTO,US DoD,BRICS,Biological Robustness In Complex Settings,synbio,PARTIAL,2014-2018,Complete,allprogs.md
DARPA BTO,US DoD,ELM,Engineered Living Materials,synbio,NO,2016-~2020,Complete,allprogs.md
DARPA BTO,US DoD,Safe Genes,(no acronym),synbio,PARTIAL,2016-2021,Complete,allprogs.md
DARPA BTO,US DoD,B-SAFE,Broad-Spectrum Antagonists For Editors,synbio,PARTIAL,2024-present,Active,allprogs.md
DARPA BTO,US DoD,Biological Control,(no acronym),synbio,PARTIAL,~2016-2020,Complete,allprogs.md
DARPA BTO,US DoD,B-SURE,"Biomanufacturing: Survival, Utility, and Reliability beyond Earth",synbio,NO,2022-present,Active,allprogs.md
DARPA BTO,US DoD,EMBER,Environmental Microbes as a BioEngineering Resource,synbio,NO,2022-present,Active,allprogs.md
